,model,image_name,image_index,no_of_pieces,correct_pos,correct_pos_and_orientation,time_taken,solved
65,FromScratch,CUB_200_test/180.Wilson_Warbler/Wilson_Warbler_0028_2525898597.jpg,66,36,9,8,20.92,0
66,FromScratch,CUB_200_test/170.Mourning_Warbler/Mourning_Warbler_0034_2812894924.jpg,67,36,28,27,21.11,0
67,FromScratch,CUB_200_test/170.Mourning_Warbler/Mourning_Warbler_0017_2497552546.jpg,68,36,36,36,20.88,1
68,FromScratch,CUB_200_test/181.Worm_eating_Warbler/Worm_eating_Warbler_0017_3028697970.jpg,69,36,36,36,19.65,1
69,FromScratch,CUB_200_test/181.Worm_eating_Warbler/Worm_eating_Warbler_0025_2464667213.jpg,70,36,36,36,19.9,1
70,FromScratch,CUB_200_test/190.Red_cockaded_Woodpecker/Red_cockaded_Woodpecker_0010_625802406.jpg,71,16,5,5,3.72,0
71,FromScratch,CUB_200_test/190.Red_cockaded_Woodpecker/Red_cockaded_Woodpecker_0016_115003148.jpg,72,36,2,1,20.25,0
72,FromScratch,CUB_200_test/187.American_Three_toed_Woodpecker/American_Three_toed_Woodpecker_0005_32925351.jpg,73,25,25,25,9.67,1
73,FromScratch,CUB_200_test/187.American_Three_toed_Woodpecker/American_Three_toed_Woodpecker_0011_2599789306.jpg,74,25,25,25,9.93,1
74,FromScratch,CUB_200_test/166.Golden_winged_Warbler/Golden_winged_Warbler_0028_1236870078.jpg,75,36,36,36,20.53,1
75,FromScratch,CUB_200_test/166.Golden_winged_Warbler/Golden_winged_Warbler_0018_2507666617.jpg,76,36,33,33,21.0,0
76,FromScratch,CUB_200_test/163.Cape_May_Warbler/Cape_May_Warbler_0018_2469638982.jpg,77,36,28,28,19.32,0
77,FromScratch,CUB_200_test/163.Cape_May_Warbler/Cape_May_Warbler_0004_512726047.jpg,78,36,6,6,21.67,0
78,FromScratch,CUB_200_test/183.Northern_Waterthrush/Northern_Waterthrush_0007_278878325.jpg,79,36,36,36,19.82,1
79,FromScratch,CUB_200_test/183.Northern_Waterthrush/Northern_Waterthrush_0022_2461117821.jpg,80,25,25,25,9.51,1
